,Unnamed: 0,NO,URL,タイトル,職務,スキル,勤務,職場,案件タイトル,案件URL,業務内容,キーワード,案件タイトル.1,月額報酬,職種,スキル・言語・FW,勤務日数詳細,勤務エリア（最寄り駅）,案件内容,職種.1,スキル・言語・FW.1,必須スキル,歓迎スキル,稼働日数,月額報酬.1,勤務エリア（最寄り駅）.1,雇用形態,備考,案件ID,案件内容.1
7395,7395,7396,https://lancersagent.com/project/director/0060I00000cSpFQQA0,定番【週4日･5日/ディレクター】                                【ディlレクター】インターネット広告配信システムやデータ分析における開発ディレクション                            週4日･5日 | 3万円以上 / 日ディレクター週4日･5日五反田・恵比寿・六本木（六本木駅）デジタルマーケティングエージェンシー事業において、開発ディレクターとして企画・設計や進行管理などを担っていただきます。自社テクノロジーと高い経験値、そしてグループとしての強固なリレーションをもとに、クライアントビジネスの成長を支援します。詳細を見る,ディレクター,,週4日･5日,五反田・恵比寿・六本木（六本木駅）,                【ディlレクター】インターネット広告配信システムやデータ分析における開発ディレクション | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000cSpFQQA0,"デジタルマーケティングエージェンシー事業において、
開発ディレクターとして企画・設計や進行管理などを担っていただきます。

自社テクノロジーと高い経験値、そしてグループとしての強固なリレーションをもとに、
クライアントビジネスの成長を支援します。/ディレクター/その他/五反田・恵比寿・六本木",【週4日･5日/】,【ディlレクター】インターネット広告配信システムやデータ分析における開発ディレクション,3万円以上/ 日※ 消費税別の実際にお渡しする金額です,ディレクター,,週4日･5日,五反田・恵比寿・六本木（六本木駅）,デジタルマーケティングエージェンシー事業において、開発ディレクターとして企画・設計や進行管理などを担っていただきます。自社テクノロジーと高い経験値、そしてグループとしての強固なリレーションをもとに、クライアントビジネスの成長を支援します。,ディレクター,,・社内外合わせた5名以上のエンジニア体制の開発ディレクション経験・進捗管理・タスク管理経験,-,週4日･5日,3万円以上,五反田・恵比寿・六本木（六本木駅）,業務委託,,案件ID：000006098131,
7397,7397,7398,https://lancersagent.com/project/director/0060I00000cSqpeQAC,定番【週4日･5日/webディレクター】                                【WEBディレクター】複数案件の進行管理や顧客折衝を行うWEBディレクター                            週4日･5日 | 2.5〜3.2万円 / 日webディレクターHTML・CSS・JavaScript週4日･5日水道橋・飯田橋（飯田橋駅）・コーポレートサイトを中心とした複数案件の進行管理、作業チェック・ドキュメント作成・顧客折衝やスタッフとの連携詳細を見る,webディレクター,HTML・CSS・JavaScript,週4日･5日,水道橋・飯田橋（飯田橋駅）,                【WEBディレクター】複数案件の進行管理や顧客折衝を行うWEBディレクター | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000cSqpeQAC,"・コーポレートサイトを中心とした複数案件の進行管理、作業チェック
・ドキュメント作成
・顧客折衝やスタッフとの連携/ディレクター/ディレクションのみ/水道橋・飯田橋",【週4日･5日/HTML・CSS・JavaScript】,【WEBディレクター】複数案件の進行管理や顧客折衝を行うWEBディレクター,2.5〜3.2万円/ 日※ 消費税別の実際にお渡しする金額です,webディレクター,HTML・CSS・JavaScript,週4日･5日,水道橋・飯田橋（飯田橋駅）,・コーポレートサイトを中心とした複数案件の進行管理、作業チェック・ドキュメント作成・顧客折衝やスタッフとの連携,webディレクター,HTML・CSS・JavaScript,・顧客折衝の経験・ウェブディレクションの経験,・複数案件を同時に受け持った経験・コーディングなど、システム周りの知識,週4日･5日,2.5〜3.2万円,水道橋・飯田橋（飯田橋駅）,業務委託,,案件ID：000006098133,
7398,7398,7399,https://lancersagent.com/project/director/0060I00000cSrQQQA0,"定番【週5日/WEBディレクター】                                【WEBディレクター】ECサイト構築におけるWEBディレクション業務                            週5日 | 400,000〜600,000円 / 月WEBディレクター週5日五反田・恵比寿・六本木（麻布十番駅）eコマース総合支援会社として、クライアント企業におけるECサイトの構築や、リニューアル、運営などEC業務全般のディレクションをお任せします。とりまとめ役としてクライアントや社内メンバーに対して、提案やプロジェクトの進行管理をしていただきます。詳細を見る",WEBディレクター,,週5日,五反田・恵比寿・六本木（麻布十番駅）,                【WEBディレクター】ECサイト構築におけるWEBディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000cSrQQQA0,"コマース総合支援会社として、
クライアント企業におけるECサイトの構築や、
リニューアル、運営などEC業務全般のディレクションをお任せします。
とりまとめ役としてクライアントや社内メンバーに対して、
提案やプロジェクトの進行管理をしていただきます。/ディレクター/ディレクションのみ/五反田・恵比寿・六本木",【週5日/】,【WEBディレクター】ECサイト構築におけるWEBディレクション業務,"400,000〜600,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター,,週5日,五反田・恵比寿・六本木（麻布十番駅）,eコマース総合支援会社として、クライアント企業におけるECサイトの構築や、リニューアル、運営などEC業務全般のディレクションをお任せします。とりまとめ役としてクライアントや社内メンバーに対して、提案やプロジェクトの進行管理をしていただきます。,WEBディレクター,,・Web制作のディレクションの業務経験・メール、Excel、PowerPointなど、ビジネスレベルでの利用経験・コミュニケーション力,・ECサイト構築・運用のディレクション経験・ワイヤーフレーム作成の経験・インターネット広告（SEO、アフィリエイト、リスティング広告など）に関する知識→広告代理店での業務経験,"週5日                            
(ﾘﾓｰﾄ：相談可)","400,000〜600,000円",五反田・恵比寿・六本木（麻布十番駅）,業務委託,,案件ID：000006098134,
7409,7409,7410,https://lancersagent.com/project/director/0060I00000cSKu7QAG,"注目【週5日/アートディレクター】                                【ディレクター】東証一部上場グループでのアートディレクター募集                            週5日 | 750,000円以上 / 月アートディレクターHTML・CSS週5日五反田・恵比寿・六本木（白金高輪駅）アートディレクターとしてクライアントからの依頼をヒアリング、要件整理、制作依頼、スケジュール管理などの制作進行をしていただきます。また、可能であれば、WFの作成まで行っていただきます。場合によっては、リニューアルに伴う提案資料作成もございます。詳細を見る",アートディレクター,HTML・CSS,週5日,五反田・恵比寿・六本木（白金高輪駅）,                【ディレクター】東証一部上場グループでのアートディレクター募集 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000cSKu7QAG,"アートディレクターとしてクライアントからの依頼をヒアリング、要件整理、制作依頼、スケジュール管理などの制作進行をしていただきます。

また、可能であれば、WFの作成まで行っていただきます。
場合によっては、リニューアルに伴う提案資料作成もございます。/ディレクター/ディレクションのみ/五反田・恵比寿・六本木",【週5日/】,【ディレクター】東証一部上場グループでのアートディレクター募集,"750,000円以上/ 月※ 消費税別の実際にお渡しする金額です",アートディレクター,,週5日,五反田・恵比寿・六本木（白金高輪駅）,アートディレクターとしてクライアントからの依頼をヒアリング、要件整理、制作依頼、スケジュール管理などの制作進行をしていただきます。また、可能であれば、WFの作成まで行っていただきます。場合によっては、リニューアルに伴う提案資料作成もございます。,アートディレクター,HTML・CSS,・Webに関する知識・Web進行管理経験・HTML/CSSの基礎知識・Officeツールの使用経験,,週5日,"750,000円以上",五反田・恵比寿・六本木（白金高輪駅）,業務委託,,案件ID：000006098109,
7485,7485,7486,https://lancersagent.com/project/director/0060I00000cQgSpQAK,"定番【週5日/WEBディレクター（不動産）】                                【東証一部上場企業】【WEBディレクター】不動産情報メディアのWEBディレクション業務                            週5日 | 600,000〜700,000円 / 月WEBディレクター（不動産）週5日品川（目黒駅）弊社の運営する不動産情報メディアのディレクターとして、メディアの力をあらゆるアプローチで最大化していただく業務をご担当いただきます。・サービスを成長させるための戦略立案 / 企画・WEB サービス・アプリの改善施策立案、集客施策立案から仕様策定、ワイヤーフレーム等の作成・GoogleAnalytics や自社分析基盤を活用したデータ分析業務・マネタイズの企画や改善業務・サービス品質を向上させるための課題抽出から改善プランの提詳細を見る",WEBディレクター（不動産）,,週5日,品川（目黒駅）,                【東証一部上場企業】【WEBディレクター】不動産情報メディアのWEBディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000cQgSpQAK,"弊社の運営する不動産情報メディアのディレクターとして、メディアの力をあらゆるアプローチで最大化していただく業務をご担当いただきます。

・サービスを成長させるための戦略立案 / 企画
・WEB サービス・アプリの改善施策立案、集客施策立案から仕様策定、ワイヤーフレーム等の作成
・GoogleAnalytics や自社分析基盤を活用したデータ分析業務
・マネタイズの企画や改善業務
・サービス品質を向上させるための課題抽出から改善プランの提/ディレクター/ディレクションのみ/品川",【週5日/】,【東証一部上場企業】【WEBディレクター】不動産情報メディアのWEBディレクション業務,"600,000〜700,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター（不動産）,,週5日,品川（目黒駅）,弊社の運営する不動産情報メディアのディレクターとして、メディアの力をあらゆるアプローチで最大化していただく業務をご担当いただきます。・サービスを成長させるための戦略立案 / 企画・WEB サービス・アプリの改善施策立案、集客施策立案から仕様策定、ワイヤーフレーム等の作成・GoogleAnalytics や自社分析基盤を活用したデータ分析業務・マネタイズの企画や改善業務・サービス品質を向上させるための課題抽出から改善プランの提,WEBディレクター（不動産）,,・WEB サービス（アプリ含む）のディレクション業務経験・数値管理、校正、QA など、細かいが抜け漏れがあってはいけない業務に携わってきた経験・担当業務で高い実績を上げた経験がある方・マーケティングやオウンドメディア運営の経験が有る方,・Web 制作工程の知識があり、エンジニアやデザイナーの方とコミュニケーションが取れる方・未知の領域でも主体的に学習してキャッチアップしていける方・SEO 関連の業務知識が有る方・Web マーケティングの実務経験が有る方・オウンドメディアなどの運営経験の有る方,週5日,"600,000〜700,000円",品川（目黒駅）,業務委託,,案件ID：000006098025,
7487,7487,7488,https://lancersagent.com/project/director/0060I00000cQeejQAC,定番【週5日/WEBディレクター】                                【WEBディレクター】WEB制作会社でのWEBディレクション業務                            週5日 | 2万円以上 / 日WEBディレクター・WEBのディレクション経験週5日五反田・恵比寿・六本木（広尾駅）幅広いお客様のWEB制作のディレクション業務になります。Web制作案件において・要件整理・進行管理・提案&打ち合わせ・クライアントとのコミュニケーション・ワイヤーフレームの作成や要件書の作成詳細を見る,WEBディレクター,・WEBのディレクション経験,週5日,五反田・恵比寿・六本木（広尾駅）,                【WEBディレクター】WEB制作会社でのWEBディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000cQeejQAC,"幅広いお客様のWEB制作のディレクション業務になります。
Web制作案件において
・要件整理
・進行管理
・提案&amp;打ち合わせ
・クライアントとのコミュニケーション
・ワイヤーフレームの作成や要件書の作成/ディレクター/ディレクションのみ/五反田・恵比寿・六本木",【週5日/】,【WEBディレクター】WEB制作会社でのWEBディレクション業務,2万円以上/ 日※ 消費税別の実際にお渡しする金額です,WEBディレクター,,週5日,五反田・恵比寿・六本木（広尾駅）,幅広いお客様のWEB制作のディレクション業務になります。Web制作案件において・要件整理・進行管理・提案&打ち合わせ・クライアントとのコミュニケーション・ワイヤーフレームの作成や要件書の作成,WEBディレクター,・WEBのディレクション経験,・WEBのディレクション経験,・コーディング経験,"週5日                            
(ﾘﾓｰﾄ：相談可)",2万円以上,五反田・恵比寿・六本木（広尾駅）,業務委託,,案件ID：000006098024,
7498,7498,7499,https://lancersagent.com/project/director/0060I00000cQV1cQAG,定番【週3日･4日･5日/ディレクター】                                【ディレクター】幼稚園・保育園向け写真販売システムならびに新規プロダクトのディレクション業務                            週3日･4日･5日 | 3.5〜4.4万円 / 日ディレクター週3日･4日･5日新橋・銀座・東京（勝どき駅）・Web サービスの戦略策定・Web サービスの仕様設計、ディレクション・プロジェクトの進捗・工程管理・マーケティング手法の検討と実行・KPI 管理詳細を見る,ディレクター,,週3日･4日･5日,新橋・銀座・東京（勝どき駅）,                【ディレクター】幼稚園・保育園向け写真販売システムならびに新規プロダクトのディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000cQV1cQAG,"・Web サービスの戦略策定
・Web サービスの仕様設計、ディレクション
・プロジェクトの進捗・工程管理
・マーケティング手法の検討と実行
・KPI 管理/ディレクター/管理のみ/新橋・銀座・東京",【週3日･4日･5日/】,【ディレクター】幼稚園・保育園向け写真販売システムならびに新規プロダクトのディレクション業務,3.5〜4.4万円/ 日※ 消費税別の実際にお渡しする金額です,ディレクター,,週3日･4日･5日,新橋・銀座・東京（勝どき駅）,・Web サービスの戦略策定・Web サービスの仕様設計、ディレクション・プロジェクトの進捗・工程管理・マーケティング手法の検討と実行・KPI 管理,ディレクター,,・Web アプリ、Web システムのディレクター経験・Web サービス運用のディレクター経験・システム開発経験・プロジェクトの進行管理・デザイナーを含むチームでの開発経験・Google Analytics を使用した分析経験,・UI/設計、デザインにも興味がある方・ビジネスディベロップメント経験・Web サービスのスケール経験・SaaS ビジネスのマーケティング経験・Web サービスのプロダクトオーナー経験,"週3日･4日･5日                            
(ﾘﾓｰﾄ：相談可)",3.5〜4.4万円,新橋・銀座・東京（勝どき駅）,業務委託,,案件ID：000006098016,
7519,7519,7520,https://lancersagent.com/project/director/0060I00000bKUbUQAW,定番【週4日･5日/編集ディレクター】                                【ディレクター】メディアのコンテンツディレクション業務                            週4日･5日 | 2.5〜3.4万円 / 日編集ディレクター週4日･5日渋谷・新宿（池尻大橋駅）メディアのディレクター（編集を含む）募集しております。メディアのグロースと収益化まで担当いただき、施策の全体的な管理まで行っていただきます。また、大型メディアの編集リーダーとして、メディアのコンセプトやGOALまで理解したうえで、全体的なコンテンツの設計ができると良いです。記事のマネジメントにおいてもマーケター、エンジニアに必要なデータ抽出、サイト改善の指示出しができると望ましいです。詳細を見る,編集ディレクター,,週4日･5日,渋谷・新宿（池尻大橋駅）,                【ディレクター】メディアのコンテンツディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000bKUbUQAW,"メディアのディレクター（編集を含む）募集しております。
メディアのグロースと収益化まで担当いただき、施策の全体的な管理まで行っていただきます。

また、大型メディアの編集リーダーとして、メディアのコンセプトやGOALまで理解したうえで、全体的なコンテンツの設計ができると良いです。

記事のマネジメントにおいてもマーケター、エンジニアに必要なデータ抽出、サイト改善の指示出しができると望ましいです。/ディレクター/ディレクションのみ/渋谷・新宿",【週4日･5日/】,【ディレクター】メディアのコンテンツディレクション業務,2.5〜3.4万円/ 日※ 消費税別の実際にお渡しする金額です,編集ディレクター,,週4日･5日,渋谷・新宿（池尻大橋駅）,メディアのディレクター（編集を含む）募集しております。メディアのグロースと収益化まで担当いただき、施策の全体的な管理まで行っていただきます。また、大型メディアの編集リーダーとして、メディアのコンセプトやGOALまで理解したうえで、全体的なコンテンツの設計ができると良いです。記事のマネジメントにおいてもマーケター、エンジニアに必要なデータ抽出、サイト改善の指示出しができると望ましいです。,編集ディレクター,,・メディアでの企画、編集経験（紙・Webどちらも可）・外部協力者のディレクション経験・データに基づき、改善するのが好き・取材経験がある・GAやサーチコンソールの運用経験,・顧客折衝経験・SEOなど、配信したコンテンツを普及させる施策を行った経験・金融 or 不動産業界に携わった経験,週4日･5日,2.5〜3.4万円,渋谷・新宿（池尻大橋駅）,業務委託,,案件ID：000006097991,
7525,7525,7526,https://lancersagent.com/project/director/0060I00000bKLnVQAW,"定番【週5日/Webディレクター】                                【WEBディレクター】Webサイト、プログラム実装と連携したデザイン・コーディング案件の制作進行                            週5日 | 440,000円以上 / 月Webディレクター週5日水道橋・飯田橋（麹町駅）直接取引のクライアントから依頼を受けたWebサイト、プログラム実装と連携したデザイン・コーディング案件の制作進行をお願い致します。・クライアント対応（電話・メール・Slack等のコミュニケーションツールを使用）・コーダー・デザイナーへの作業依頼（社内、外部パートナー 両方）・進行管理、スケジュール調整・チェック作業・品質管理　など詳細を見る",Webディレクター,,週5日,水道橋・飯田橋（麹町駅）,                【WEBディレクター】Webサイト、プログラム実装と連携したデザイン・コーディング案件の制作進行 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000bKLnVQAW,"直接取引のクライアントから依頼を受けたWebサイト、プログラム実装と連携したデザイン・コーディング案件の制作進行をお願い致します。
・クライアント対応（電話・メール・Slack等のコミュニケーションツールを使用）
・コーダー・デザイナーへの作業依頼（社内、外部パートナー 両方）
・進行管理、スケジュール調整
・チェック作業
・品質管理　など/ディレクター/ディレクションのみ/水道橋・飯田橋",【週5日/】,【WEBディレクター】Webサイト、プログラム実装と連携したデザイン・コーディング案件の制作進行,"440,000円以上/ 月※ 消費税別の実際にお渡しする金額です",Webディレクター,,週5日,水道橋・飯田橋（麹町駅）,直接取引のクライアントから依頼を受けたWebサイト、プログラム実装と連携したデザイン・コーディング案件の制作進行をお願い致します。・クライアント対応（電話・メール・Slack等のコミュニケーションツールを使用）・コーダー・デザイナーへの作業依頼（社内、外部パートナー 両方）・進行管理、スケジュール調整・チェック作業・品質管理　など,Webディレクター,,・Webディレクター実務経験・全体の進行管理、デザイナーやコーダー（社内、外部）のハンドリング経験・マルチタスクや、優先順位を意識した作業ができる方,・Webサイトの制作経験・Adobe XDの使用経験,週5日,"440,000円以上",水道橋・飯田橋（麹町駅）,業務委託,,案件ID：000006097984,
7529,7529,7530,https://lancersagent.com/project/director/0060I00000bKB3AQAW,定番【週5日/WEBディレクター】                                【WEBディレクター】大手企業のWEBサイト制作のディレクション業務                            週5日 | 2.5〜3万円 / 日WEBディレクター週5日新橋・銀座・東京（東銀座駅）WEBサイト制作におけるディレクション業務を行っていただきます。詳細を見る,WEBディレクター,,週5日,新橋・銀座・東京（東銀座駅）,                【WEBディレクター】大手企業のWEBサイト制作のディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000bKB3AQAW,WEBサイト制作におけるディレクション業務を行っていただきます。/ディレクター/管理のみ/新橋・銀座・東京,【週5日/】,【WEBディレクター】大手企業のWEBサイト制作のディレクション業務,2.5〜3万円/ 日※ 消費税別の実際にお渡しする金額です,WEBディレクター,,週5日,新橋・銀座・東京（東銀座駅）,WEBサイト制作におけるディレクション業務を行っていただきます。,WEBディレクター,,・企業のWEBサイト、プロモーションサイト開発のディレクション経験,・業務知識が豊富な方・お客様へのヒアリング等、論理的コミュニケーション能力がある方・ビジネスコミュニケーションが高い方,週5日,2.5〜3万円,新橋・銀座・東京（東銀座駅）,業務委託,,案件ID：000006097982,
7575,7575,7576,https://lancersagent.com/project/director/0060I00000fHjaCQAS,"注目【週4日･5日/Webディレクター】                                【ディレクター】オウンドメディアやLPのWEBディレクター                            週4日･5日 | 300,000円以上 / 月Webディレクター週4日･5日新橋・銀座・東京（赤坂駅）【案件概要】オウンドメディアやLPの制作、進行管理を行っていただきます。人事に関する専門的な内容が殆どですが、社内外に知識豊富なものがありますので、人事知見がなくても大丈夫です。記事の企画・制作～ページの制作まで幅広くご担当いただきます。詳細を見る",Webディレクター,,週4日･5日,新橋・銀座・東京（赤坂駅）,                【ディレクター】オウンドメディアやLPのWEBディレクター | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000fHjaCQAS,"【案件概要】
オウンドメディアやLPの制作、進行管理を行っていただきます。
人事に関する専門的な内容が殆どですが、
社内外に知識豊富なものがありますので、人事知見がなくても大丈夫です。
記事の企画・制作～ページの制作まで幅広くご担当いただきます。/ディレクター/ディレクションのみ/新橋・銀座・東京",【週4日･5日/】,【ディレクター】オウンドメディアやLPのWEBディレクター,"300,000円以上/ 月※ 消費税別の実際にお渡しする金額です",Webディレクター,,週4日･5日,新橋・銀座・東京（赤坂駅）,【案件概要】オウンドメディアやLPの制作、進行管理を行っていただきます。人事に関する専門的な内容が殆どですが、社内外に知識豊富なものがありますので、人事知見がなくても大丈夫です。記事の企画・制作～ページの制作まで幅広くご担当いただきます。,Webディレクター,,・校正経験（社内向け資料の文字校正程度の簡単なものでOK）・Excelスキル（SUM 関数）・Webメディア、広告に興味がある方,・制作・進行管理経験,週4日･5日,"300,000円以上",新橋・銀座・東京（赤坂駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006098499,
7590,7590,7591,https://lancersagent.com/project/director/0060I00000bDD4qQAG,"定番【週5日/WEBディレクター（HR）】                                【東証一部上場企業】【WEBディレクター】HR系インターネットメディアのWEBディレクション業務                            週5日 | 650,000〜800,000円 / 月WEBディレクター（HR）週5日品川（目黒駅）弊社の運営する転職サイト／転職情報サイトのディレクターとして、メディアの力をあらゆるアプローチで最大化していただく業務をご担当いただきます。・サービスを成長させるための戦略立案 / 企画・WEB サービス・アプリの改善施策立案、集客施策立案から仕様策定、ワイヤーフレーム等の作成・GoogleAnalytics や自社分析基盤を活用したデータ分析業務・マネタイズの企画や改善業務・サービス品質を向上させるための課題抽出から改善詳細を見る",WEBディレクター（HR）,,週5日,品川（目黒駅）,                【東証一部上場企業】【WEBディレクター】HR系インターネットメディアのWEBディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000bDD4qQAG,"弊社の運営する転職サイト／転職情報サイトのディレクターとして、メディアの力をあらゆるアプローチで最大化していただく業務をご担当いただきます。

・サービスを成長させるための戦略立案 / 企画
・WEB サービス・アプリの改善施策立案、集客施策立案から仕様策定、ワイヤーフレーム等の作
成
・GoogleAnalytics や自社分析基盤を活用したデータ分析業務
・マネタイズの企画や改善業務
・サービス品質を向上させるための課題抽出から改善/ディレクター/ディレクションのみ/品川",【週5日/】,【東証一部上場企業】【WEBディレクター】HR系インターネットメディアのWEBディレクション業務,"650,000〜800,000円/ 月※ 消費税別の実際にお渡しする金額です",WEBディレクター（HR）,,週5日,品川（目黒駅）,弊社の運営する転職サイト／転職情報サイトのディレクターとして、メディアの力をあらゆるアプローチで最大化していただく業務をご担当いただきます。・サービスを成長させるための戦略立案 / 企画・WEB サービス・アプリの改善施策立案、集客施策立案から仕様策定、ワイヤーフレーム等の作成・GoogleAnalytics や自社分析基盤を活用したデータ分析業務・マネタイズの企画や改善業務・サービス品質を向上させるための課題抽出から改善,WEBディレクター（HR）,,・WEB サービス（アプリ含む）のディレクション業務経験・数値管理、校正、QA など、細かいが抜け漏れがあってはいけない業務に携わってきた経験・担当業務で高い実績を上げた経験がある方・マーケティングやオウンドメディア運営の経験が有る方,・Web 制作工程の知識があり、エンジニアやデザイナーの方とコミュニケーションが取れる方・未知の領域でも主体的に学習してキャッチアップしていける方・SEO 関連の業務知識が有る方・Web マーケティングの実務経験が有る方・オウンドメディアなどの運営経験の有る方,週5日,"650,000〜800,000円",品川（目黒駅）,業務委託,,案件ID：000006097916,
7615,7615,7616,https://lancersagent.com/project/director/0060I00000Z4w7zQAB,"定番【週5日/ディレクター】                                【クリエイティブディレクター】自社メディアのWEBディレクション業務                            週5日 | 600,000円以上 / 月ディレクター週5日渋谷・新宿（西新宿駅）【仕事内容】◆要件定義◆ランディングページの制作・改修ディレクション業務◆webメディアの制作ディレクション業務◆スケジュール/進捗管理◆UI設計◆ワイヤーフレーム作成◆デザイナー・フロントエンドエンジニアとのコミュニケーション社内外問わず様々なステークホルダーと積極的にコミュニケーションを取る事ができる方や常に新しい仕事に接していたい方を募集しております。詳細を見る",ディレクター,,週5日,渋谷・新宿（西新宿駅）,                【クリエイティブディレクター】自社メディアのWEBディレクション業務 | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000Z4w7zQAB,"【仕事内容】
◆要件定義
◆ランディングページの制作・改修ディレクション業務
◆webメディアの制作ディレクション業務
◆スケジュール/進捗管理
◆UI設計
◆ワイヤーフレーム作成
◆デザイナー・フロントエンドエンジニア
とのコミュニケーション


社内外問わず様々なステークホルダーと積極的にコミュニケーションを取る事ができる方や常に新しい仕事に接していたい方を募集しております。/ディレクター/その他/渋谷・新宿",【週5日/】,【クリエイティブディレクター】自社メディアのWEBディレクション業務,"600,000円以上/ 月※ 消費税別の実際にお渡しする金額です",ディレクター,,週5日,渋谷・新宿（西新宿駅）,【仕事内容】◆要件定義◆ランディングページの制作・改修ディレクション業務◆webメディアの制作ディレクション業務◆スケジュール/進捗管理◆UI設計◆ワイヤーフレーム作成◆デザイナー・フロントエンドエンジニアとのコミュニケーション社内外問わず様々なステークホルダーと積極的にコミュニケーションを取る事ができる方や常に新しい仕事に接していたい方を募集しております。,ディレクター,,•Webディレクターとしての実務経験•ワイヤー設計経験•事業会社での経験,•デザインの知見•カスタマージャーニーマップの作成経験•Webマーケティング経験•Google Analyticsの使用経験•LPO経験•WordPressについての基礎的な知識,週5日,"600,000円以上",渋谷・新宿（西新宿駅）,業務委託,,案件ID：000006097883,
7621,7621,7622,https://lancersagent.com/project/director/0060I00000Z4gi9QAB,"定番【週3日･4日･5日/アートディレクター】                                【ディレクター】ゲームグラフィック制作企業でのアートディレクター                            週3日･4日･5日 | 300,000〜400,000円 / 月アートディレクターPhotoshop・SAI・CLIP・STUDIO・Photoshop・SAI・CLIP・STUDIO・外注管理経験・マネジメント経験週3日･4日･5日秋葉原（上野駅）ゲームグラフィック制作専門の弊社のリードデザイナーとして、ソーシャルゲームにおけるデザインの制作進行管理・マネジメントをご担当していただきます。◎具体的には◎■クライアントとの打ち合わせ■仕様書の作成■クリエイターへの制作依頼■品質チェック・クライアント確認まずは、プロジェクトに携わりながら一連の流れを覚えて頂きます。詳細を見る",アートディレクター,Photoshop・SAI・CLIP・STUDIO・Photoshop・SAI・CLIP・STUDIO・外注管理経験・マネジメント経験,週3日･4日･5日,秋葉原（上野駅）,                【ディレクター】ゲームグラフィック制作企業でのアートディレクター | ランサーズエージェント（Lancers Agent）            ,https://lancersagent.com//project/director/0060I00000Z4gi9QAB,"ゲームグラフィック制作専門の弊社のリードデザイナーとして、ソーシャルゲームにおけるデザインの制作進行管理・マネジメントをご担当していただきます。
◎具体的には◎
■クライアントとの打ち合わせ
■仕様書の作成
■クリエイターへの制作依頼
■品質チェック・クライアント確認

まずは、プロジェクトに携わりながら一連の流れを覚えて頂きます。/ディレクター/ディレクションのみ/秋葉原",【週3日･4日･5日/】,【ディレクター】ゲームグラフィック制作企業でのアートディレクター,"300,000〜400,000円/ 月※ 消費税別の実際にお渡しする金額です",アートディレクター,,週3日･4日･5日,秋葉原（上野駅）,ゲームグラフィック制作専門の弊社のリードデザイナーとして、ソーシャルゲームにおけるデザインの制作進行管理・マネジメントをご担当していただきます。◎具体的には◎■クライアントとの打ち合わせ■仕様書の作成■クリエイターへの制作依頼■品質チェック・クライアント確認まずは、プロジェクトに携わりながら一連の流れを覚えて頂きます。,アートディレクター,Photoshop・SAI・CLIP・STUDIO・Photoshop・SAI・CLIP・STUDIO・外注管理経験・マネジメント経験,・ゲーム業界でのデザイナー経験,・クライアントワーク・外注管理経験・マネジメント経験・コミュニケーションスキルの高い方・プロジェクトマネジメント経験者,週3日･4日･5日,"300,000〜400,000円",秋葉原（上野駅）,業務委託,※報酬額は【週5日（月20日）換算】した際の金額です,案件ID：000006097871,
